Ano;Período;Tipo Avaliacao;Professor;Departamento;Disciplina;Turma;A turma se mostrou motivada para estudar a disciplina.;A turma teve facilidade para acompanhar acompanhar as atividades da disciplina;A turma se empenhou em acompanhar as atividades da disciplina.;Você apresentou plano de ensino contendo: ementa, objetivos, metodologias de ensino, critérios de avaliação, conteúdos e bibliografia da disciplina.;Os conteúdos trabalhados na disciplina foram coerentes com os que foram apresentados no plano de ensino.;Você deu retorno sobre todas as avaliações realizadas: correções, discussão dos pontos principais, esclarecimentos sobre os erros cometidos.;Os recursos didáticos, audiovisuais, tecnológicos empregados pelo(a) docente contribuíram para que a aula fosse mais produtiva.;Você cumpriu a carga horária prevista no semestre para a disciplina.;O grau de dificuldade das avaliações foi compatível com as aulas ministradas.;A disciplina contribuiu na preparação para o exercício profissional.;A disciplina contribuiu para a aquisição de formação teórica/prática na área. ;A disciplina contribuiu para a aquisição de cultura geral.;Você dispôs de horário de atendimento extra-classe.; As notas de todas as avaliações parciais foram divulgadas no SIGA até 3 (três) dias antes da data da avaliação subsequente, conforme determina o RAG. ;Você manteve um comportamento respeitoso e cortês em relação aos discentes.
2019;3;DOCENTE_TURMA;23C751524F821750DFE2471FD7B98583;DEPARTAMENTO DE CIÊNCIAS BÁSICAS DA VIDA;F7723EA9A348C4E2D9CBB6CF5586112D;A;4;2;2;5;5;4;5;5;5;5;5;4;5;5;5
2019;3;DOCENTE_TURMA;23C751524F821750DFE2471FD7B98583;DEPARTAMENTO DE CIÊNCIAS BÁSICAS DA VIDA;907E600F7A4494116719671E535BCD91;A;4;2;2;5;5;4;5;5;5;5;5;4;5;5;5
2019;3;DOCENTE_TURMA;23C751524F821750DFE2471FD7B98583;DEPARTAMENTO DE CIÊNCIAS BÁSICAS DA VIDA;89B033FEF33E41606D8A78823429DAE6;A;2;2;2;5;5;4;5;5;5;5;5;4;5;5;5
2019;3;DOCENTE_TURMA;23C751524F821750DFE2471FD7B98583;DEPARTAMENTO DE CIÊNCIAS BÁSICAS DA VIDA;31BB957A77E83CAD8CDB870320199C46;A;2;2;2;5;5;4;5;5;5;5;5;4;5;5;5
2019;3;DOCENTE_TURMA;23C751524F821750DFE2471FD7B98583;DEPARTAMENTO DE CIÊNCIAS BÁSICAS DA VIDA;60A397AAD0E3A17A1D90DFD46699D57E;A;4;2;4;5;5;5;5;5;5;5;5;5;5;5;5
2019;3;DOCENTE_TURMA;23C751524F821750DFE2471FD7B98583;DEPARTAMENTO DE CIÊNCIAS BÁSICAS DA VIDA;AC1794FCC4DCBCB561AF2ACBF77923C3;A;4;2;4;5;5;5;5;5;5;5;5;5;5;5;5
2019;3;DOCENTE_TURMA;3590471AEC97D787A34B0824C9394303;DEP Farmacia - Campus Governador Valadares;7CE27014DE06EE38CB5A5DB226EEC4EB;A;5;4;4;5;5;4;4;5;5;5;5;4;4;5;5
2019;3;DOCENTE_TURMA;3590471AEC97D787A34B0824C9394303;DEP Farmacia - Campus Governador Valadares;E9DFC9A54990915BC0F289172441CBFA;A;5;5;5;5;5;4;4;5;5;5;5;4;4;5;5
2019;3;DOCENTE_TURMA;AA3AA3059D4563B7445BF751FF357000;DEPTO FUNDAMENTOS SERV SOCIAL /SSO;2BE8BEBA288692A039CD403EC1D05C12;F;5;5;5;5;5;5;5;5;5;5;5;5;5;1;5
2019;3;DOCENTE_TURMA;AA3AA3059D4563B7445BF751FF357000;DEPTO FUNDAMENTOS SERV SOCIAL /SSO;F53A5A99B5F7040B0ED69EC68F94832D;F;5;5;5;5;5;5;5;5;5;5;5;5;5;1;5
2019;3;DOCENTE_TURMA;AA3AA3059D4563B7445BF751FF357000;DEPTO FUNDAMENTOS SERV SOCIAL /SSO;D75933A5415A7EAA179914C44DF4A317;F;5;5;5;5;5;5;5;5;5;5;5;5;5;1;5
2019;3;DOCENTE_TURMA;AA3AA3059D4563B7445BF751FF357000;DEPTO FUNDAMENTOS SERV SOCIAL /SSO;3470FAA0A69D045AD0F3A25EA3192921;A;4;4;4;5;5;5;5;5;5;5;5;5;5;1;5
2019;3;DOCENTE_TURMA;AA3AA3059D4563B7445BF751FF357000;DEPTO FUNDAMENTOS SERV SOCIAL /SSO;30ACA278F6E3B0B335C48D7162BEB7EA;F;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#
2019;3;DOCENTE_TURMA;ED45F0DFC23D68A1D9D8BAC63BB6BA59;DEPTO DE CIRURGIA /MED;726F22BA54631E6ADF10B4B482F21C5D;A;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#
#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#
#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#
2019;3;DOCENTE_TURMA;ED45F0DFC23D68A1D9D8BAC63BB6BA59;DEPTO DE CLINICA MEDICA /MED;03FC3A10690676E264BD9514DCAD092A;A;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
